2025-10-21 18:41:01 | INFO | vth.actions | UPDATE_RATES_STUB user='' currency='' amount= result=OK time=0.001s
2025-10-21 18:41:07 | ERROR | vth.actions | REGISTER result=ERROR type=UserAlreadyExistsError msg='Имя пользователя 'alice' уже занято' time=0.000s
2025-10-21 18:41:13 | INFO | vth.actions | LOGIN user='' currency='' amount= result=OK time=0.000s
2025-10-21 18:41:20 | INFO | vth.actions | SHOW_PORTFOLIO user='' currency='' amount= base='USD' result=OK time=0.002s
2025-10-21 18:41:30 | ERROR | vth.actions | BUY result=ERROR type=InsufficientFundsError msg='Недостаточно средств: доступно 296.69 USD, требуется 593.3721 USD' time=0.000s
2025-10-21 18:41:41 | INFO | vth.actions | SELL user='' currency='' amount= base='USD' rate=59337.21 result=OK changes=[BTC: 0.04500000→0.04000000; USD: 296.69→593.38] time=0.001s
2025-10-21 18:41:46 | INFO | vth.actions | BUY user='' currency='' amount= base='USD' rate=59337.21 result=OK changes=[BTC: 0.04000000→0.04300000; USD: 593.38→415.37] time=0.001s
2025-10-21 18:41:51 | INFO | vth.actions | GET_RATE user='' currency='' amount= rate=59337.21 result=OK time=0.000s
2025-10-21 18:41:59 | INFO | vth.actions | GET_RATE user='' currency='' amount= rate=59337.21 result=OK time=0.000s
